Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
1090	3	8	3	7	3	6	2	5	1	4	5	3	5	2	1	1	1	5	2	1	1	2	1	1	3	3	1	3	1	1
1100	5	8	3	7	3	6	11	5	1	4	3	3	3	2	2	1	1	3	3	1	1	11	1	9	3	17	1	3	1	1
1110	1	8	1	7	1	6	2	5	1	4	2	3	2	2	2	1	1	2	2	1	2	2	1	2	1	1	1	1	1	1
1120	2	8	3	7	4	6	2	5	3	4	17	3	5	2	2	1	3	17	2	3	1	2	1	9	4	11	1	4	1	1
1130	2	8	2	7	3	6	3	5	3	4	2	3	2	2	9	1	14	2	3	14	2	3	1	9	3	2	1	3	1	1
1140	2	8	2	7	2	6	2	5	18	4	3	3	3	2	2	1	5	3	2	18	2	2	1	2	2	2	1	2	1	1
1150	2	8	2	7	4	6	2	5	1	4	3	3	3	2	1	1	1	3	2	1	2	2	1	9	4	2	1	4	1	1
1160	3	8	3	7	3	6	3	5	15	4	3	3	3	2	2	1	1	3	3	15	2	3	1	2	3	3	1	3	1	1
1170	4	8	4	7	2	6	2	5	3	4	1	3	9	2	1	1	3	9	2	3	1	2	1	1	2	4	1	2	1	1
1180	3	8	3	7	1	6	2	5	2	4	5	3	5	2	2	1	11	5	2	11	2	2	1	2	1	3	1	1	1	1
1190	5	8	5	7	2	6	2	5	5	4	5	3	5	2	1	1	5	5	3	5	1	11	1	1	2	5	1	2	1	1
1200	1	8	1	7	1	6	1	5	10	4	3	3	11	2	2	1	1	11	1	10	2	1	1	2	1	1	1	1	1	1
1210	16	8	2	7	1	6	2	5	15	4	1	3	1	2	1	1	5	1	2	15	1	2	1	1	10	16	1	10	1	1
1220	2	8	2	7	2	6	1	5	18	4	6	3	6	2	2	1	4	6	1	18	2	1	1	2	9	2	1	9	1	1
1230	3	8	3	7	1	6	1	5	2	4	3	3	17	2	2	1	2	17	1	2	2	1	1	2	10	3	1	10	1	1
1240	2	8	2	7	2	6	3	5	4	4	17	3	3	2	2	1	4	17	3	4	2	3	1	2	2	2	1	2	1	1
1250	4	8	4	7	1	6	1	5	1	4	1	3	1	2	2	1	1	1	1	1	2	1	1	2	3	4	1	10	1	1
